GAUSSIAN 10 7 3
[9, 8, 1, 6, 8, 8, 9, 5, 3, 5]
0 1 PUMP 3215 
0 2 PUMP 738 
0 2 PASS 1248 
1 1 PUMP 629 
1 2 PUMP 1201 
1 3 PUMP 802 
1 4 PUMP 1488 
1 5 PUMP 739 
1 6 PUMP 691 
1 7 PUMP 677 
1 8 POP 694 
2 1 POP 996 
3 1 PUMP 1305 
3 1 PASS 668 
4 1 PUMP 629 
4 2 PUMP 437 
4 2 PASS 475 
5 1 PUMP 430 
5 2 PUMP 346 
5 2 PASS 371 
6 1 PUMP 365 
6 2 PUMP 317 
6 2 PASS 390 
7 1 PUMP 1135 
7 2 PUMP 320 
7 3 PUMP 471 
7 3 PASS 352 
8 1 PUMP 399 
8 2 PUMP 251 
8 3 POP 371 
9 0 PASS 365 
TOTAL SCORE 12
